A̱o,Mes,Cantidad
2021,7,628812
2021,8,639766
2021,9,615178
2021,10,655444
2021,11,597850
2021,12,667934
2022,1,304484
2022,2,293951
2022,3,312692
2022,4,311633
2022,5,318686
2022,6,291692
2022,7,309222
2022,8,296351
2022,9,294035
2022,10,306647
2022,11,287195
2022,12,302277
2023,1,286349
2023,2,270523
2023,3,289403
2023,4,289324
2023,5,291274
2023,6,290158
2023,7,295301
2023,8,284282
2023,9,287062
2023,10,288955
2023,11,273853
2023,12,299547
2024,1,208141
2024,2,276751
2024,3,291091
2024,4,271896
2024,5,278031
2024,6,276994
2024,7,268199
2024,8,269487
2024,9,279865
2024,10,294418
2024,11,279515
2024,12,297234
2025,1,267496
2025,2,244515
2025,3,277043
2025,4,263337
2025,5,277844
2025,6,271065
2025,7,267990
2025,8,275322
