A̱o,Servicio,Cantidad
2021,gestion de riesgos,7864
2021,gestion de siniestros,67464
2021,gestion sanitaria,442162
2021,seguridad ciudadana,2786622
2021,servicio militar,24100
2021,servicios municipales,149236
2021,transito y movilidad,327536
2022,gestion de riesgos,8474
2022,gestion de siniestros,59320
2022,gestion sanitaria,440536
2022,seguridad ciudadana,2580607
2022,servicio militar,20734
2022,servicios municipales,170504
2022,transito y movilidad,348690
2023,gestion de riesgos,17304
2023,gestion de siniestros,59637
2023,gestion sanitaria,401429
2023,seguridad ciudadana,2400627
2023,servicio militar,39239
2023,servicios municipales,167841
2023,transito y movilidad,359952
2024,gestion de riesgos,26763
2024,gestion de siniestros,57486
2024,gestion sanitaria,353406
2024,seguridad ciudadana,2278707
2024,servicio militar,38599
2024,servicios municipales,180944
2024,transito y movilidad,353553
2025,gestion de riesgos,10046
2025,gestion de siniestros,37083
2025,gestion sanitaria,258934
2025,seguridad ciudadana,1423349
2025,servicio militar,36360
2025,servicios municipales,121414
2025,transito y movilidad,257425
