AÃ±o_Mes,provincia,Cantidad
2023-07,tungurahua,12498
2023-07,zamora chinchipe,1196
2023-08,azuay,14668
2023-08,bolivar,2960
2023-08,canar,2879
2023-08,carchi,3433
2023-08,chimborazo,8366
2023-08,cotopaxi,5787
2023-08,el oro,12908
2023-08,esmeraldas,5370
2023-08,galapagos,880
2023-08,guayas,65398
2023-08,imbabura,9598
2023-08,loja,8050
2023-08,los rios,13551
2023-08,manabi,16005
2023-08,morona santiago,3403
2023-08,napo,1729
2023-08,orellana,2533
2023-08,pastaza,2195
2023-08,pichincha,71405
2023-08,santa elena,4388
2023-08,santo domingo de los tsachilas,11075
2023-08,sucumbios,4534
2023-08,tungurahua,11969
2023-08,zamora chinchipe,1198
2023-09,azuay,16096
2023-09,bolivar,2941
2023-09,canar,3061
2023-09,carchi,3799
2023-09,chimborazo,8371
2023-09,cotopaxi,6117
2023-09,el oro,12588
2023-09,esmeraldas,5218
2023-09,galapagos,923
2023-09,guayas,63106
2023-09,imbabura,10496
2023-09,loja,8273
2023-09,los rios,12706
2023-09,manabi,14831
2023-09,morona santiago,3552
2023-09,napo,1461
2023-09,orellana,3437
2023-09,pastaza,2237
2023-09,pichincha,74651
2023-09,santa elena,4314
2023-09,santo domingo de los tsachilas,10766
2023-09,sucumbios,4427
2023-09,tungurahua,12394
2023-09,zamora chinchipe,1297
2023-10,azuay,16471
2023-10,bolivar,3219
2023-10,canar,3137
2023-10,carchi,4010
2023-10,chimborazo,8767
2023-10,cotopaxi,6340
2023-10,el oro,12296
2023-10,esmeraldas,5376
2023-10,galapagos,922
2023-10,guayas,64021
2023-10,imbabura,10378
2023-10,loja,8369
2023-10,los rios,12818
2023-10,manabi,15081
2023-10,morona santiago,3595
2023-10,napo,1665
2023-10,orellana,3305
2023-10,pastaza,2380
2023-10,pichincha,72525
2023-10,santa elena,4500
2023-10,santo domingo de los tsachilas,10834
2023-10,sucumbios,4385
2023-10,tungurahua,13127
2023-10,zamora chinchipe,1434
2023-11,azuay,16362
2023-11,bolivar,3028
2023-11,canar,2928
2023-11,carchi,3660
2023-11,chimborazo,8249
2023-11,cotopaxi,5893
2023-11,el oro,11013
2023-11,esmeraldas,5045
2023-11,galapagos,853
2023-11,guayas,61648
2023-11,imbabura,9714
2023-11,loja,7604
2023-11,los rios,11987
2023-11,manabi,13893
2023-11,morona santiago,3284
2023-11,napo,1584
2023-11,orellana,2878
2023-11,pastaza,2134
2023-11,pichincha,70716
2023-11,santa elena,4042
2023-11,santo domingo de los tsachilas,9590
2023-11,sucumbios,4233
2023-11,tungurahua,12211
2023-11,zamora chinchipe,1304
2023-12,azuay,17035
2023-12,bolivar,3270
2023-12,canar,3081
2023-12,carchi,3779
2023-12,chimborazo,8543
2023-12,cotopaxi,6379
2023-12,el oro,12387
2023-12,esmeraldas,5251
2023-12,galapagos,875
2023-12,guayas,70604
2023-12,imbabura,10721
2023-12,loja,8352
2023-12,los rios,12882
2023-12,manabi,14710
2023-12,morona santiago,3428
2023-12,napo,1737
2023-12,orellana,2692
2023-12,pastaza,2328
2023-12,pichincha,78484
2023-12,santa elena,4118
2023-12,santo domingo de los tsachilas,9681
2023-12,sucumbios,4815
2023-12,tungurahua,12852
2023-12,zamora chinchipe,1543
2024-01,azuay,7676
2024-01,bolivar,2766
2024-01,canar,1945
2024-01,carchi,2377
2024-01,chimborazo,5501
2024-01,cotopaxi,4357
2024-01,el oro,9727
2024-01,esmeraldas,4110
2024-01,galapagos,682
2024-01,guayas,55123
2024-01,imbabura,6255
2024-01,loja,4861
2024-01,los rios,10434
2024-01,manabi,11192
2024-01,morona santiago,2102
2024-01,napo,1166
2024-01,orellana,1817
2024-01,pastaza,1521
2024-01,pichincha,50224
2024-01,santa elena,3286
2024-01,santo domingo de los tsachilas,7325
2024-01,sucumbios,3708
2024-01,tungurahua,9073
2024-01,zamora chinchipe,913
2024-02,azuay,14382
2024-02,bolivar,3205
2024-02,canar,2729
2024-02,carchi,3504
2024-02,chimborazo,7571
2024-02,cotopaxi,5875
2024-02,el oro,11684
2024-02,esmeraldas,5748
2024-02,galapagos,973
2024-02,guayas,67994
2024-02,imbabura,9548
2024-02,loja,7544
2024-02,los rios,12318
2024-02,manabi,13651
2024-02,morona santiago,3574
2024-02,napo,1647
2024-02,orellana,2927
2024-02,pastaza,2077
2024-02,pichincha,68471
2024-02,santa elena,4311
2024-02,santo domingo de los tsachilas,9488
2024-02,sucumbios,4500
2024-02,tungurahua,11683
2024-02,zamora chinchipe,1347
2024-03,azuay,14968
2024-03,bolivar,3173
2024-03,canar,2808
2024-03,carchi,3704
2024-03,chimborazo,7787
2024-03,cotopaxi,6381
2024-03,el oro,12235
2024-03,esmeraldas,5742
2024-03,galapagos,861
2024-03,guayas,70834
2024-03,imbabura,10155
2024-03,loja,7438
2024-03,los rios,12831
2024-03,manabi,14050
2024-03,morona santiago,3776
2024-03,napo,1645
2024-03,orellana,2925
2024-03,pastaza,2317
2024-03,pichincha,74340
2024-03,santa elena,4389
2024-03,santo domingo de los tsachilas,9840
2024-03,sucumbios,4785
2024-03,tungurahua,12695
2024-03,zamora chinchipe,1412
2024-04,azuay,14068
2024-04,bolivar,3294
2024-04,canar,2675
2024-04,carchi,3440
2024-04,chimborazo,7599
2024-04,cotopaxi,5872
2024-04,el oro,11738
2024-04,esmeraldas,5318
2024-04,galapagos,841
2024-04,guayas,66094
2024-04,imbabura,9164
2024-04,loja,7422
2024-04,los rios,11668
2024-04,manabi,13036
2024-04,morona santiago,3130
2024-04,napo,1698
2024-04,orellana,2847
2024-04,pastaza,2186
2024-04,pichincha,69141
2024-04,santa elena,3690
2024-04,santo domingo de los tsachilas,9073
2024-04,sucumbios,4656
2024-04,tungurahua,11877
2024-04,zamora chinchipe,1369
2024-05,azuay,14909
2024-05,bolivar,2630
2024-05,canar,2777
2024-05,carchi,3600
2024-05,chimborazo,7864
2024-05,cotopaxi,6067
2024-05,el oro,11672
2024-05,esmeraldas,5351
2024-05,galapagos,849
2024-05,guayas,66551
2024-05,imbabura,9846
2024-05,loja,7270
2024-05,los rios,12307
2024-05,manabi,13103
2024-05,morona santiago,3457
2024-05,napo,1563
2024-05,orellana,2998
2024-05,pastaza,2186
2024-05,pichincha,72272
2024-05,santa elena,3736
2024-05,santo domingo de los tsachilas,9300
2024-05,sucumbios,4387
2024-05,tungurahua,12076
2024-05,zamora chinchipe,1260
2024-06,azuay,14514
2024-06,bolivar,2602
2024-06,canar,2659
2024-06,carchi,3442
2024-06,chimborazo,7630
2024-06,cotopaxi,6125
2024-06,el oro,11751
2024-06,esmeraldas,5173
2024-06,galapagos,776
2024-06,guayas,67428
2024-06,imbabura,9839
2024-06,loja,7348
2024-06,los rios,11961
2024-06,manabi,13196
2024-06,morona santiago,3182
2024-06,napo,1526
2024-06,orellana,2953
2024-06,pastaza,2067
2024-06,pichincha,72602
2024-06,santa elena,3904
2024-06,santo domingo de los tsachilas,9399
2024-06,sucumbios,4058
2024-06,tungurahua,11570
2024-06,zamora chinchipe,1289
2024-07,azuay,13416
2024-07,bolivar,2714
2024-07,canar,2537
2024-07,carchi,3371
2024-07,chimborazo,7182
2024-07,cotopaxi,5815
2024-07,el oro,11539
2024-07,esmeraldas,4822
2024-07,galapagos,751
2024-07,guayas,65573
2024-07,imbabura,9512
2024-07,loja,7184
2024-07,los rios,11941
2024-07,manabi,13832
2024-07,morona santiago,3045
2024-07,napo,1539
2024-07,orellana,2590
2024-07,pastaza,1988
2024-07,pichincha,69195
2024-07,santa elena,3741
2024-07,santo domingo de los tsachilas,9762
2024-07,sucumbios,4075
2024-07,tungurahua,10830
2024-07,zamora chinchipe,1245
2024-08,azuay,13730
2024-08,bolivar,2929
2024-08,canar,2641
2024-08,carchi,3322
2024-08,chimborazo,7066
2024-08,cotopaxi,6067
2024-08,el oro,11630
2024-08,esmeraldas,5505
2024-08,galapagos,870
2024-08,guayas,64661
2024-08,imbabura,9739
2024-08,loja,8032
2024-08,los rios,12344
2024-08,manabi,13820
2024-08,morona santiago,3107
2024-08,napo,1639
2024-08,orellana,2549
2024-08,pastaza,2098
2024-08,pichincha,68176
2024-08,santa elena,3730
2024-08,santo domingo de los tsachilas,9488
2024-08,sucumbios,3994
2024-08,tungurahua,11022
2024-08,zamora chinchipe,1328
2024-09,azuay,14545
2024-09,bolivar,3257
2024-09,canar,2721
2024-09,carchi,3520
2024-09,chimborazo,7436
2024-09,cotopaxi,6595
2024-09,el oro,11419
2024-09,esmeraldas,5279
2024-09,galapagos,773
2024-09,guayas,66780
2024-09,imbabura,10509
2024-09,loja,7723
2024-09,los rios,12658
2024-09,manabi,13489
2024-09,morona santiago,2770
2024-09,napo,1636
2024-09,orellana,3102
2024-09,pastaza,2192
2024-09,pichincha,72738
2024-09,santa elena,3743
2024-09,santo domingo de los tsachilas,10049
2024-09,sucumbios,4184
2024-09,tungurahua,11333
2024-09,zamora chinchipe,1414
2024-10,azuay,15745
2024-10,bolivar,3523
2024-10,canar,2758
2024-10,carchi,3491
2024-10,chimborazo,8240
2024-10,cotopaxi,6485
2024-10,el oro,11441
2024-10,esmeraldas,5078
2024-10,galapagos,776
2024-10,guayas,79502
2024-10,imbabura,9846
2024-10,loja,8253
2024-10,los rios,12840
2024-10,manabi,13964
2024-10,morona santiago,3724
2024-10,napo,1807
2024-10,orellana,2895
2024-10,pastaza,2205
2024-10,pichincha,70553
2024-10,santa elena,3848
2024-10,santo domingo de los tsachilas,9801
2024-10,sucumbios,3980
2024-10,tungurahua,12247
2024-10,zamora chinchipe,1416
2024-11,azuay,15391
2024-11,bolivar,3302
2024-11,canar,2773
2024-11,carchi,3443
2024-11,chimborazo,7813
2024-11,cotopaxi,6450
2024-11,el oro,10230
2024-11,esmeraldas,5282
2024-11,galapagos,765
2024-11,guayas,74448
2024-11,imbabura,9229
2024-11,loja,8054
2024-11,los rios,12410
2024-11,manabi,13705
2024-11,morona santiago,3797
2024-11,napo,1680
2024-11,orellana,2572
2024-11,pastaza,2187
2024-11,pichincha,66510
2024-11,santa elena,3392
2024-11,santo domingo de los tsachilas,9155
2024-11,sucumbios,3761
2024-11,tungurahua,11736
2024-11,zamora chinchipe,1430
2024-12,azuay,15856
2024-12,bolivar,3230
2024-12,canar,2756
2024-12,carchi,3527
2024-12,chimborazo,8079
2024-12,cotopaxi,6357
2024-12,el oro,11441
2024-12,esmeraldas,5618
2024-12,galapagos,809
2024-12,guayas,81799
2024-12,imbabura,9939
2024-12,loja,8174
2024-12,los rios,12269
2024-12,manabi,14270
2024-12,morona santiago,4121
2024-12,napo,1747
2024-12,orellana,2597
2024-12,pastaza,2170
2024-12,pichincha,71167
2024-12,santa elena,4027
2024-12,santo domingo de los tsachilas,9781
2024-12,sucumbios,4033
2024-12,tungurahua,12034
2024-12,zamora chinchipe,1433
2025-01,azuay,13929
2025-01,bolivar,3128
2025-01,canar,2370
2025-01,carchi,3419
2025-01,chimborazo,7632
2025-01,cotopaxi,6265
2025-01,el oro,10273
2025-01,esmeraldas,5278
2025-01,galapagos,793
2025-01,guayas,69509
2025-01,imbabura,9266
2025-01,loja,7168
2025-01,los rios,11796
2025-01,manabi,12358
2025-01,morona santiago,3786
2025-01,napo,1574
2025-01,orellana,2560
2025-01,pastaza,1955
2025-01,pichincha,64835
2025-01,santa elena,4134
2025-01,santo domingo de los tsachilas,8709
2025-01,sucumbios,4130
2025-01,tungurahua,11312
2025-01,zamora chinchipe,1317
2025-02,azuay,13528
2025-02,bolivar,3043
2025-02,canar,2418
2025-02,carchi,3156
2025-02,chimborazo,7304
2025-02,cotopaxi,6181
2025-02,el oro,9862
2025-02,esmeraldas,4660
2025-02,galapagos,719
2025-02,guayas,58924
2025-02,imbabura,8640
2025-02,loja,6872
2025-02,los rios,10121
2025-02,manabi,11334
2025-02,morona santiago,3584
2025-02,napo,1624
2025-02,orellana,2283
2025-02,pastaza,1857
2025-02,pichincha,61474
2025-02,santa elena,3490
2025-02,santo domingo de los tsachilas,8327
2025-02,sucumbios,3505
2025-02,tungurahua,10295
2025-02,zamora chinchipe,1314
2025-03,azuay,15199
2025-03,bolivar,3228
2025-03,canar,2702
2025-03,carchi,3433
2025-03,chimborazo,8249
2025-03,cotopaxi,6703
2025-03,el oro,11656
2025-03,esmeraldas,5405
2025-03,galapagos,823
2025-03,guayas,65270
2025-03,imbabura,10154
2025-03,loja,8579
2025-03,los rios,11538
2025-03,manabi,13516
2025-03,morona santiago,4089
2025-03,napo,1872
2025-03,orellana,2597
2025-03,pastaza,2144
2025-03,pichincha,68908
2025-03,santa elena,4116
2025-03,santo domingo de los tsachilas,9107
2025-03,sucumbios,4012
2025-03,tungurahua,12183
2025-03,zamora chinchipe,1560
2025-04,azuay,14687
2025-04,bolivar,2849
2025-04,canar,2313
2025-04,carchi,3406
2025-04,chimborazo,7843
2025-04,cotopaxi,6544
2025-04,el oro,10750
2025-04,esmeraldas,5512
2025-04,galapagos,727
2025-04,guayas,61401
2025-04,imbabura,9664
2025-04,loja,8024
2025-04,los rios,10416
2025-04,manabi,12246
2025-04,morona santiago,3924
2025-04,napo,1721
2025-04,orellana,2489
2025-04,pastaza,1969
2025-04,pichincha,67678
2025-04,santa elena,3717
2025-04,santo domingo de los tsachilas,9152
2025-04,sucumbios,3806
2025-04,tungurahua,10984
2025-04,zamora chinchipe,1515
2025-05,azuay,15222
2025-05,bolivar,3008
2025-05,canar,2574
2025-05,carchi,3509
2025-05,chimborazo,7456
2025-05,cotopaxi,7065
2025-05,el oro,11356
2025-05,esmeraldas,5241
2025-05,galapagos,853
2025-05,guayas,67067
2025-05,imbabura,10341
2025-05,loja,7668
2025-05,los rios,11388
2025-05,manabi,12696
2025-05,morona santiago,4035
2025-05,napo,1719
2025-05,orellana,2632
2025-05,pastaza,2053
2025-05,pichincha,71816
2025-05,santa elena,3941
2025-05,santo domingo de los tsachilas,9715
2025-05,sucumbios,3944
2025-05,tungurahua,11140
2025-05,zamora chinchipe,1405
2025-06,azuay,15081
2025-06,bolivar,3041
2025-06,canar,2754
2025-06,carchi,3406
2025-06,chimborazo,7661
2025-06,cotopaxi,6736
2025-06,el oro,11292
2025-06,esmeraldas,5200
2025-06,galapagos,866
2025-06,guayas,67270
2025-06,imbabura,9880
2025-06,loja,7527
2025-06,los rios,10856
2025-06,manabi,12130
2025-06,morona santiago,3940
2025-06,napo,1693
2025-06,orellana,2761
2025-06,pastaza,1896
2025-06,pichincha,67487
2025-06,santa elena,3697
2025-06,santo domingo de los tsachilas,9355
2025-06,sucumbios,4074
2025-06,tungurahua,11000
2025-06,zamora chinchipe,1462
2025-07,azuay,14609
2025-07,bolivar,3140
2025-07,canar,2413
2025-07,carchi,3036
2025-07,chimborazo,7351
2025-07,cotopaxi,6251
2025-07,el oro,11041
2025-07,esmeraldas,5136
2025-07,galapagos,856
2025-07,guayas,68585
2025-07,imbabura,9405
2025-07,loja,7832
2025-07,los rios,11225
2025-07,manabi,12397
2025-07,morona santiago,3875
2025-07,napo,1398
2025-07,orellana,2623
2025-07,pastaza,1903
2025-07,pichincha,65076
2025-07,santa elena,3703
2025-07,santo domingo de los tsachilas,9585
2025-07,sucumbios,3975
2025-07,tungurahua,11124
2025-07,zamora chinchipe,1451
2025-08,azuay,14441
2025-08,bolivar,3122
2025-08,canar,2630
2025-08,carchi,3206
2025-08,chimborazo,7153
2025-08,cotopaxi,6516
2025-08,el oro,11450
2025-08,esmeraldas,6676
2025-08,galapagos,907
2025-08,guayas,71606
2025-08,imbabura,9853
2025-08,loja,7562
2025-08,los rios,11562
2025-08,manabi,12897
2025-08,morona santiago,4119
2025-08,napo,1483
2025-08,orellana,2355
2025-08,pastaza,1917
2025-08,pichincha,65006
2025-08,santa elena,3927
2025-08,santo domingo de los tsachilas,10029
2025-08,sucumbios,4350
2025-08,tungurahua,11115
2025-08,zamora chinchipe,1440
